ObservationID,ParcelleID,DateObservation,Temperature,Humidite,Pluviometrie_mm,NDVI,Capteur,StadeCulture,RendementEstime_t_ha,RendementMoyenZone_t_ha,AnomalieLabel
OBS000001,P0242,2024-10-24 19:19:52,21.5,51.3,14.8,0.6627,Manuel,Récolte,2.09,3.09,0
OBS000002,P0053,2024-05-30 16:15:55,17.1,85.5,6.8,0.4558,Drone,Levée,4.14,3.57,0
OBS000003,P0125,2025-10-21 20:14:37,15.6,71.4,0.3,0.6985,Satellite,Maturation,4.05,2.99,0
OBS000004,P0185,2025-10-16 18:52:25,10.9,58.9,3.8,0.4121,Station_Sol,Récolte,9.39,7.7,0
OBS000005,P0411,2024-03-30 19:54:57,12.2,62.5,10.5,0.6393,Satellite,Levée,10.52,8.94,0
OBS000006,P0089,2025-07-25 07:21:22,26.8,73.4,1.4,0.7386,Drone,Floraison,2.88,3.43,0
OBS000007,P0492,2024-08-20 15:01:07,23.4,72.1,8.3,0.8284,Satellite,Maturation,2.35,2.17,0
OBS000008,P0472,2025-03-30 08:54:47,8.9,37.4,2.1,0.9096,Satellite,Semis,8.9,7.41,0
OBS000009,P0075,2024-03-13 14:15:01,-0.1,66.1,15.5,0.794,Drone,Levée,5.51,5.38,0
OBS000010,P0474,2024-10-27 15:34:22,12.4,94.1,107.8,0.9054,Station_Sol,Maturation,2.56,2.65,1
OBS000011,P0317,2025-05-23 20:37:27,14.3,15.3,15.1,,Station_Sol,Tallage,3.23,1.64,1
OBS000012,P0111,2025-06-06 14:34:44,27.2,75.9,-4.0,0.3742,Manuel,Tallage,3.98,2.65,0
OBS000013,P0376,2024-09-16 12:38:49,17.9,91.8,3.3,0.3859,Satellite,Floraison,2.82,3.03,0
OBS000014,P0221,2024-11-14 20:05:11,7.3,50.5,5.4,0.3011,Manuel,Maturation,,8.84,0
OBS000015,P0197,2025-01-08 05:51:57,5.0,93.5,1.1,0.5732,Station_Sol,Maturation,8.91,8.13,0
OBS000016,P0228,2024-04-01 06:59:34,20.4,70.4,1.4,0.5092,Drone,Tallage,9.5,7.03,0
OBS000017,P0343,2025-09-19 07:21:15,21.2,90.3,8.2,0.6223,Station_Sol,Maturation,9.34,9.47,0
OBS000018,P0360,2025-08-27 17:48:34,25.2,57.6,2.6,0.6085,Station_Sol,Maturation,3.92,3.09,0
OBS000019,P0271,2024-04-12 11:05:19,15.2,93.0,5.1,0.569,Station_Sol,Levée,8.32,7.88,0
OBS000020,P0023,2024-10-06 08:29:11,14.6,90.3,17.2,,Satellite,Récolte,11.63,9.33,0
OBS000021,P0424,2024-10-20 16:58:53,12.3,77.6,18.8,0.5537,Satellite,Récolte,4.22,3.23,0
OBS000022,P0098,2025-07-13 13:38:00,21.8,41.9,1.4,0.459,Station_Sol,Floraison,5.23,6.23,0
OBS000023,P0439,2025-10-05 13:06:48,10.7,41.6,103.4,0.5716,Satellite,Maturation,9.64,7.3,1
OBS000024,P0394,2024-10-02 15:02:36,23.2,15.7,93.9,0.1381,Station_Sol,Récolte,4.39,8.21,1
OBS000025,P0210,2025-08-13 05:39:46,26.6,49.0,11.2,0.4392,Station_Sol,Floraison,,2.76,0
OBS000026,P0293,2025-03-31 14:43:39,6.9,93.8,15.3,0.4388,Satellite,Semis,2.33,2.49,0
OBS000027,P0379,2024-03-22 18:51:19,11.8,59.1,19.0,0.7547,Drone,Levée,8.12,8.86,0
OBS000028,P0272,2024-09-27 12:13:45,18.6,89.0,3.5,0.3876,Satellite,Maturation,7.2,6.11,0
OBS000029,P0027,2024-09-21 11:21:35,15.9,36.4,1.3,0.7769,Station_Sol,Floraison,5.34,6.02,0
OBS000030,P0391,2025-07-12 15:39:59,30.9,38.9,13.6,0.8776,Drone,Tallage,7.96,9.64,0
OBS000031,P0162,2025-10-19 19:30:21,15.7,44.1,6.4,0.5911,Manuel,Maturation,8.24,7.83,0
OBS000032,P0387,2024-04-10 09:56:24,16.6,56.7,4.0,,Drone,Tallage,11.63,9.14,0
OBS000033,P0070,2025-01-02 17:58:09,15.4,56.3,5.9,0.1527,Manuel,Maturation,1.83,2.38,1
OBS000034,P0123,2025-01-08 13:28:27,0.6,87.3,5.7,0.5915,Drone,Récolte,3.15,2.89,0
OBS000035,P0412,2025-08-07 18:26:45,21.7,90.1,2.6,0.8027,Station_Sol,Floraison,2.02,2.31,0
OBS000036,P0034,2024-08-05 12:49:05,,,6.4,0.8402,Drone,Maturation,1.91,3.06,0
OBS000037,P0103,2024-05-23 10:05:45,,38.0,5.0,0.9125,Station_Sol,Levée,10.25,9.54,0
OBS000038,P0304,2024-05-02 19:11:32,29.8,39.5,1.2,0.6141,Satellite,Tallage,2.22,8.55,1
OBS000039,P0350,2024-11-13 14:48:10,8.3,21.5,0.6,0.1862,Station_Sol,Maturation,3.12,2.93,1
OBS000040,P0190,2025-07-25 14:48:31,30.3,56.2,17.1,0.5874,Manuel,Floraison,2.86,1.58,0
OBS000041,P0448,2024-07-21 15:24:55,30.8,45.4,0.7,0.5091,Satellite,Floraison,8.98,7.74,0
OBS000042,P0098,2025-07-12 20:27:27,24.1,39.0,2.3,0.7982,Drone,Tallage,6.47,5.77,0
OBS000043,P0317,2025-05-14 08:38:08,20.2,68.9,3.1,0.7267,Manuel,Tallage,3.1,2.1,0
OBS000044,P0175,2025-10-13 15:44:12,14.4,77.5,1.9,0.4943,Manuel,Récolte,2.69,3.01,0
OBS000045,P0309,2024-11-28 07:28:24,9.7,38.5,2.6,0.3906,Satellite,Récolte,6.66,7.75,0
OBS000046,P0416,2024-09-09 08:18:46,18.7,86.2,0.2,0.2052,Manuel,Maturation,9.51,9.01,1
OBS000047,P0141,2025-06-10 13:12:45,20.6,38.1,1.0,0.3158,Drone,Floraison,2.24,2.57,0
OBS000048,P0145,2025-01-26 06:56:32,11.5,49.1,3.5,0.6253,Station_Sol,Récolte,5.65,7.39,1
OBS000049,P0107,2025-06-03 10:07:48,19.6,48.5,1.8,0.6104,Satellite,Floraison,,3.0,0
OBS000050,P0392,2024-12-22 20:01:42,4.3,56.0,4.7,0.3944,Satellite,Récolte,2.31,2.63,0
OBS000051,P0199,2024-08-11 11:48:38,21.6,93.1,1.5,0.3662,Manuel,Floraison,9.38,9.45,0
OBS000052,P0383,2024-12-31 11:56:37,1.3,65.7,1.3,0.7464,Station_Sol,Récolte,7.96,7.04,0
OBS000053,P0085,2025-07-17 20:35:38,26.0,72.2,17.7,0.6522,Satellite,Tallage,9.79,9.69,0
OBS000054,P0498,2025-05-08 16:04:17,20.0,88.2,16.8,0.3188,Manuel,Tallage,2.69,3.25,0
OBS000055,P0372,2024-10-27 19:55:56,13.0,38.9,4.6,0.9032,Station_Sol,Maturation,11.48,8.45,0
OBS000056,P0449,2024-12-13 14:46:30,5.9,94.8,13.0,0.791,Station_Sol,Maturation,2.64,3.43,0
OBS000057,P0189,2025-06-11 20:34:10,19.4,69.8,9.7,0.8514,Station_Sol,Floraison,5.75,5.89,0
OBS000058,P0309,2024-11-15 09:21:59,9.2,86.6,5.2,0.7952,Satellite,Maturation,7.03,7.27,0
OBS000059,P0422,2025-05-04 08:32:34,78.4,77.6,10.6,0.5435,Station_Sol,Tallage,5.01,5.82,1
OBS000060,P0356,2024-09-09 05:57:50,18.6,53.4,1.6,0.4184,Satellite,Maturation,4.87,6.03,0
OBS000061,P0130,2025-06-07 08:27:22,,57.5,16.8,0.7211,Manuel,Floraison,2.52,3.31,0
OBS000062,P0359,2025-06-28 17:48:34,27.4,57.8,0.6,0.4521,Station_Sol,Tallage,6.9,5.17,0
OBS000063,P0124,2025-06-24 06:20:19,21.0,75.5,0.5,0.6503,Station_Sol,Tallage,1.93,2.35,0
